1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2400 Adults,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
Falling Further Into Debt,8%,7%,8%,8%,10%,10%,3%,9%,6%,9%,**,6%,5%,**,**,33%,9%,5%,2%,11%,5%,100%,0%,0%,0%,0%,6%,8%,9%,9%,4%,8%,7%,13%,7%,8%,9%,10%,5%,13%,6%,4%,9%,6%,8%,8%,7%,13%,7%,7%,7%,8%,8%,6%,5%,9%,7%,8%,7%,9%,7%,8%,8%,6%,8%,13%,7%,8%,6%,14%,5%,7%,10%,6%,8%,6%
Just Getting By ,25%,24%,25%,26%,27%,26%,19%,26%,23%,24%,**,28%,23%,**,**,53%,42%,17%,4%,43%,19%,0%,100%,0%,0%,0%,16%,27%,29%,11%,24%,23%,27%,26%,16%,26%,37%,27%,17%,42%,25%,10%,31%,18%,27%,23%,26%,32%,24%,20%,24%,25%,27%,19%,26%,26%,24%,25%,23%,27%,22%,21%,26%,22%,26%,35%,24%,29%,22%,25%,21%,23%,25%,25%,28%,18%
Making Ends Meet ,27%,28%,25%,29%,27%,26%,24%,28%,25%,26%,**,27%,21%,**,**,8%,32%,30%,19%,30%,30%,0%,0%,100%,0%,0%,27%,27%,25%,30%,25%,30%,27%,17%,28%,26%,26%,30%,24%,24%,32%,24%,27%,28%,22%,29%,26%,28%,26%,28%,25%,25%,28%,25%,30%,26%,26%,26%,27%,26%,27%,28%,27%,27%,27%,21%,27%,25%,27%,27%,30%,25%,31%,24%,27%,24%
Setting Aside Some,28%,27%,29%,24%,24%,30%,36%,24%,33%,28%,**,28%,37%,**,**,2%,15%,37%,39%,15%,35%,0%,0%,0%,100%,0%,37%,25%,27%,36%,34%,28%,25%,26%,34%,29%,17%,26%,35%,13%,27%,42%,21%,34%,29%,26%,29%,19%,29%,31%,31%,27%,25%,36%,25%,27%,31%,28%,32%,26%,30%,31%,28%,29%,28%,20%,30%,25%,32%,22%,31%,33%,24%,29%,26%,36%
Prospering,10%,12%,9%,9%,10%,7%,14%,10%,11%,12%,**,8%,10%,**,**,1%,1%,9%,33%,0%,9%,0%,0%,0%,0%,100%,13%,11%,6%,15%,11%,9%,11%,15%,14%,10%,6%,6%,16%,3%,7%,19%,7%,13%,10%,12%,9%,6%,11%,13%,11%,10%,8%,13%,11%,9%,10%,11%,11%,10%,11%,9%,10%,12%,10%,7%,11%,10%,11%,8%,10%,11%,7%,12%,9%,13%
Not Sure,3%,3%,3%,5%,2%,1%,3%,4%,2%,3%,**,4%,3%,**,**,4%,1%,2%,3%,2%,1%,0%,0%,0%,0%,0%,1%,3%,4%,0%,2%,2%,2%,4%,1%,1%,6%,1%,3%,5%,2%,2%,4%,1%,4%,2%,3%,2%,3%,1%,2%,5%,4%,1%,3%,3%,1%,2%,1%,2%,4%,3%,2%,3%,2%,4%,3%,3%,2%,5%,3%,2%,3%,4%,2%,3%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Composition of Adults,100%,48%,52%,29%,24%,25%,23%,52%,48%,60%,4%,26%,7%,1%,1%,7%,29%,44%,18%,14%,28%,8%,25%,27%,28%,10%,29%,41%,21%,8%,20%,37%,20%,9%,29%,39%,20%,36%,44%,31%,33%,36%,37%,45%,18%,29%,71%,9%,91%,19%,27%,18%,35%,18%,29%,50%,21%,73%,23%,42%,30%,16%,81%,19%,80%,12%,86%,34%,53%,13%,25%,28%,23%,37%,23%,17%
