,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
1,31,11,20,15,7,5,5,21,9,11,2,13,2,2,0,2,15,12,3,7,4,4,10,7,9,1,1,17,10,0,4,14,4,2,4,13,10,14,6,8,15,7,17,11,3,8,22,5,26,2,8,3,17,4,7,17,4,23,10,9,12,5,25,7,24,3,26,13,13,5,5,8,6,9,10,6
2,22,9,13,6,3,6,6,10,12,10,3,5,3,1,0,6,8,6,3,2,3,2,8,6,3,0,2,9,8,0,5,9,3,3,6,10,10,8,4,8,8,6,11,6,5,5,16,2,20,2,6,1,13,2,3,14,5,15,6,6,7,3,17,5,15,4,16,5,14,3,7,7,5,5,8,4
3,55,19,36,22,14,16,3,36,19,33,3,17,1,1,0,5,21,17,12,9,9,9,17,18,6,6,1,35,14,0,7,24,19,2,9,24,6,25,24,21,18,16,25,23,6,19,36,8,47,10,16,8,21,10,13,31,11,42,13,21,18,9,46,9,45,8,44,20,28,8,10,17,16,15,14,10
4,63,21,42,25,9,6,22,35,28,44,1,9,9,0,0,3,14,30,16,6,22,3,16,16,17,7,4,39,18,0,10,29,13,8,9,38,5,31,27,16,18,29,28,19,16,8,54,5,58,14,7,24,18,10,20,31,12,48,11,41,10,7,54,12,51,10,48,16,38,9,9,28,13,27,17,7
5,107,29,79,39,23,27,19,62,46,46,5,40,12,3,1,6,36,54,9,8,30,10,34,29,28,2,2,86,17,1,10,54,23,14,5,73,21,46,40,35,41,31,44,43,20,32,75,12,96,10,34,26,36,16,24,63,13,88,11,65,26,17,84,20,87,14,91,36,51,20,16,35,26,34,27,21
6,86,29,56,34,17,18,16,51,34,50,4,21,9,1,0,9,26,33,16,15,16,9,24,20,20,7,2,64,16,1,11,43,19,9,4,53,7,32,47,23,32,30,41,38,7,18,66,6,80,14,24,20,27,9,28,48,9,73,7,39,36,16,68,17,68,13,72,41,37,8,12,25,20,22,17,26
7,128,59,69,31,25,32,39,57,71,78,7,29,11,1,1,13,34,61,17,15,41,14,28,28,42,15,4,88,32,1,15,45,46,17,15,87,22,48,58,40,46,42,46,50,32,34,94,12,115,26,31,21,49,18,36,71,22,104,17,75,33,17,110,16,112,17,110,55,64,8,31,33,14,46,38,30
8,213,110,103,48,48,61,56,96,117,116,7,67,19,3,0,13,62,108,29,27,63,9,58,68,59,17,1,173,36,0,12,95,74,30,24,151,31,64,118,65,71,78,77,86,50,50,161,11,202,30,62,34,87,29,54,128,26,179,26,123,60,43,169,55,157,33,179,70,129,13,62,68,37,108,39,29
9,213,101,112,43,62,56,52,105,108,140,7,52,12,1,0,14,49,99,49,24,72,8,49,63,72,20,2,169,42,2,14,77,83,35,13,159,16,67,130,62,58,93,65,105,43,72,141,19,194,39,59,30,85,33,58,116,25,184,19,128,59,34,178,21,192,24,175,95,103,14,46,58,30,77,51,55
10,215,99,116,37,51,69,58,88,127,116,24,54,13,7,1,9,57,92,56,28,50,18,60,56,49,29,2,177,33,6,11,68,73,53,15,183,25,71,119,54,60,101,69,118,27,61,153,22,193,41,62,32,80,34,72,107,36,174,31,136,46,34,178,34,180,27,186,92,102,20,38,64,41,90,41,42
Total,1132,487,645,301,259,296,276,560,572,644,64,307,92,21,4,80,321,514,208,140,311,86,304,310,305,104,20,859,225,12,98,458,359,173,105,793,154,406,572,332,367,433,424,499,209,307,818,102,1030,189,311,199,433,166,315,627,164,929,151,644,307,187,928,196,933,155,948,444,579,110,235,343,209,432,261,229
Composition of Democrats And DTS Voters,100%,43%,57%,27%,23%,26%,24%,49%,51%,57%,6%,27%,8%,2%,0%,7%,28%,45%,18%,12%,28%,8%,27%,27%,27%,9%,2%,76%,20%,1%,9%,41%,32%,15%,9%,70%,14%,36%,51%,29%,32%,38%,37%,44%,18%,27%,72%,9%,91%,17%,27%,18%,38%,15%,28%,55%,14%,82%,13%,57%,27%,17%,82%,17%,82%,14%,84%,39%,51%,10%,21%,30%,18%,38%,23%,20%
Averages,7.2,7.6,7.0,6.5,7.5,7.6,7.5,6.9,7.5,7.4,7.6,7.1,6.9,6.6,5.7,6.7,6.9,7.4,7.6,7.2,7.4,6.7,7.1,7.3,7.4,7.8,5.8,7.5,6.8,8.3,6.4,7.0,7.7,8.0,6.7,7.6,6.6,6.9,7.7,7.1,7.0,7.6,6.9,7.6,7.3,7.4,7.2,7.0,7.3,7.5,7.3,7.0,7.2,7.3,7.4,7.2,7.1,7.3,6.7,7.5,7.1,7.3,7.3,7.0,7.3,7.1,7.3,7.4,7.2,6.5,7.4,7.1,6.9,7.5,7.0,7.4
