,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Total,All,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Composition of Registered Voters,100,50,50,26,26,28,20,52,48,67,12,14,4,2,1,9,34,45,11,22,30,10,27,28,26,9,32,41,23,11,23,37,18,8,38,41,22,37,40,37,37,27,34,49,17,33,67,8,92,28,24,19,29,24,28,47,27,69,29,35,33,12,87,19,81,11,88,28,49,23,25,24,18,22,37,23
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3850 Registered Voters,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West,
Donald Trump ,40,47,33,35,40,43,42,38,43,48,9,31,**,**,**,32,41,40,44,51,48,33,34,40,45,52,85,6,38,86,71,33,8,4,88,3,46,42,35,36,41,44,30,46,41,42,39,30,41,49,42,41,29,49,43,33,55,34,69,19,38,39,40,49,38,24,42,31,39,53,46,33,38,39,44,36
Michael Bloomberg,46,41,50,48,46,44,46,47,45,40,69,56,**,**,**,49,43,48,45,36,41,50,49,47,44,37,9,80,39,9,18,49,79,87,6,84,41,43,52,47,45,46,53,42,44,45,47,54,45,37,45,48,54,38,43,51,34,51,22,68,44,48,46,37,48,59,44,54,46,35,43,50,49,46,44,47
Undecided,14,11,17,17,13,13,12,15,13,12,21,14,**,**,**,19,15,13,12,13,11,17,17,13,12,11,6,14,23,5,10,18,14,10,6,13,13,15,13,17,14,11,18,12,14,13,14,17,14,14,13,12,17,12,13,15,11,15,9,14,18,13,14,14,14,17,14,15,14,12,11,17,14,15,13,16
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
