"c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77"
"4800 Adults","All","Gender","Age","<50 / 50+","Race","Class","White X Class","Paycheck","Party Affiliation","Ideology","2016 Vote","Education","Income","Marital Status","Child < 18","Single Parent","Religion","Attend Religious Service","Evangelical","Abortion","Union HH","Military HH","LGBTQ HH","Urbanicity","Suburban","Region","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Credibility Interval: ± ","Male","Female","18-34","35-49","50-64","65+","18-49","50+","White","Black","Hispanic","Asian","Multirac","Other","Poor","Working","MC","Upper-MC","Working","Middle","Falling","Getting ","Ends Mee","Rainy Da","Prosperi","Republic","Democrat","Independ","Very Con","Conserva","Moderate","Liberal","Very Lib","Trump","Clinton","High Sch","Some Col","4-year C","< $40K","$40K - $","> $80K","Single","Married","No Longe","Yes","No","Yes","No","Protesta","Catholic","Other","No Relig","Regularl","Occasion","Almost N","Yes","No","Strongly","Strongly","In The M","Yes","No","Yes","No","Yes","No","Urban","Suburban","Rural","Male","Female","Northeas","Midwest","South","West","null"
"Yes","80%","82%","78%","69%","80%","87%","89%","74%","88%","82%","83%","73%","**","**","**","67%","78%","85%","88%","79%","86%","76%","75%","82%","87%","87%","89%","89%","72%","85%","84%","82%","85%","90%","94%","96%","66%","80%","91%","72%","82%","91%","73%","86%","80%","79%","81%","70%","81%","89%","83%","78%","73%","88%","81%","78%","84%","80%","81%","84%","81%","85%","80%","82%","80%","77%","81%","78%","83%","77%","86%","81%","82%","83%","79%","79%"
"No","18%","16%","20%","28%","18%","12%","10%","23%","11%","16%","15%","24%","**","**","**","31%","21%","14%","11%","19%","12%","22%","23%","16%","12%","12%","10%","10%","25%","14%","15%","17%","15%","8%","5%","4%","32%","18%","8%","26%","16%","8%","24%","13%","18%","19%","17%","27%","17%","10%","16%","21%","24%","11%","17%","20%","15%","18%","18%","14%","17%","13%","18%","16%","18%","22%","17%","20%","15%","22%","12%","18%","17%","16%","19%","19%"
"Not Sure","2%","2%","2%","3%","2%","1%","0%","3%","1%","1%","2%","3%","**","**","**","2%","2%","1%","1%","2%","1%","2%","2%","2%","1%","1%","1%","1%","2%","1%","1%","2%","1%","2%","1%","1%","3%","2%","1%","2%","2%","1%","3%","1%","2%","2%","1%","4%","2%","1%","1%","1%","2%","1%","2%","2%","1%","2%","1%","1%","2%","2%","2%","2%","2%","1%","2%","2%","2%","2%","2%","2%","2%","2%","2%","2%"
"Total","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"Composition of Adults","100%","49%","51%","31%","26%","26%","18%","56%","44%","65%","12%","15%","4%","2%","2%","10%","35%","43%","10%","23%","28%","10%","29%","28%","24%","8%","29%","37%","25%","10%","22%","36%","17%","8%","32%","34%","27%","37%","35%","41%","36%","24%","37%","46%","17%","33%","66%","9%","91%","26%","23%","20%","31%","21%","28%","48%","26%","69%","28%","33%","32%","11%","87%","18%","81%","11%","87%","29%","47%","24%","23%","24%","18%","21%","37%","23%"
" ","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"3850 Registered Voters","All","Gender","Age","<50 / 50+","Race","Class","White X Class","Paycheck","Party Affiliation","Ideology","2016 Vote","Education","Income","Marital Status","Child < 18","Single Parent","Religion","Attend Religious Service","Evangelical","Abortion","Union HH","Military HH","LGBTQ HH","Urbanicity","Suburban","Region","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Credibility Interval: ± ","Male","Female","18-34","35-49","50-64","65+","18-49","50+","White","Black","Hispanic","Asian","Multirac","Other","Poor","Working","MC","Upper-MC","Working","Middle","Falling","Getting ","Ends Mee","Rainy Da","Prosperi","Republic","Democrat","Independ","Very Con","Conserva","Moderate","Liberal","Very Lib","Trump","Clinton","High Sch","Some Col","4-year C","< $40K","$40K - $","> $80K","Single","Married","No Longe","Yes","No","Yes","No","Protesta","Catholic","Other","No Relig","Regularl","Occasion","Almost N","Yes","No","Strongly","Strongly","In The M","Yes","No","Yes","No","Yes","No","Urban","Suburban","Rural","Male","Female","Northeas","Midwest","South","West","null"
"Donald Trump ","39%","46%","33%","34%","38%","42%","43%","36%","43%","47%","7%","31%","**","**","**","31%","40%","39%","45%","50%","47%","31%","34%","39%","45%","51%","85%","5%","37%","87%","72%","31%","7%","3%","88%","2%","45%","40%","35%","35%","41%","43%","29%","45%","43%","40%","39%","27%","40%","49%","42%","39%","28%","51%","42%","32%","56%","33%","69%","18%","37%","39%","40%","49%","37%","25%","41%","30%","39%","52%","44%","33%","37%","38%","43%","36%"
