,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Mike Pence ,All,41,48,34,36,39,46,44,37,45,48,13,34,**,**,**,29,41,42,47,49,49,31,35,41,47,55,83,11,38,85,74,34,10,3,83,7,44,42,39,36,42,46,31,47,44,42,41,30,42,51,45,40,28,54,46,32,57,35,69,19,41,39,41,49,39,23,43,32,42,50,49,36,39,40,45
Kamala Harris,46,40,51,49,47,41,45,48,43,39,75,53,**,**,**,49,45,45,44,37,39,53,48,47,42,38,6,80,40,9,15,47,81,93,6,84,40,44,50,48,45,43,55,41,41,44,46,57,45,38,42,46,56,35,42,53,32,52,20,70,42,50,45,37,48,63,43,57,45,34,40,50,47,45,42,49
Undecided,13,12,15,15,14,13,11,15,12,14,12,13,**,**,**,22,14,13,9,14,13,16,17,13,11,6,10,10,22,6,11,19,9,4,11,8,17,14,11,16,13,10,14,13,15,14,13,13,14,11,13,14,16,11,13,15,11,13,11,12,17,11,14,14,13,13,13,12,13,16,11,15,14,14,12,14
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Composition of Registered Voters,100,50,50,26,26,28,20,52,48,67,12,14,4,2,1,9,34,45,11,22,30,10,27,28,26,9,32,41,23,11,23,37,18,8,38,41,22,37,40,37,37,27,34,49,17,33,67,8,92,28,24,19,29,24,28,47,27,69,29,35,33,12,87,19,81,11,88,28,49,23,25,24,18,22,37,23
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3850 Registered Voters,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West,
Donald Trump ,41,48,34,37,41,43,43,39,43,48,9,33,**,**,**,34,41,41,46,50,48,34,35,40,46,55,86,7,39,87,73,34,8,4,89,4,47,42,37,36,42,46,32,47,42,43,40,33,42,49,44,43,30,52,44,33,57,34,70,19,39,41,41,50,39,25,43,32,41,52,47,35,38,39,45,37
Pete Buttigieg,48,42,53,50,46,46,50,48,47,43,70,54,**,**,**,50,46,49,47,40,43,53,51,49,44,39,9,82,43,11,18,51,81,91,7,86,42,46,53,50,46,46,54,44,47,46,49,53,47,42,46,47,56,39,45,54,34,54,22,70,47,48,48,39,50,64,46,57,48,37,43,53,52,48,44,50
Undecided,11,10,13,13,13,11,7,13,9,9,21,13,**,**,**,16,13,10,7,10,8,14,14,10,10,6,5,11,19,2,9,16,11,5,4,10,12,12,10,14,11,8,14,10,11,11,11,14,11,9,10,10,15,9,11,12,9,12,8,10,14,11,11,12,11,11,11,12,11,11,10,12,10,13,10,12
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
