All,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval:  ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
1,38,12,26,15,8,9,5,24,14,11,13,11,1,2,1,5,13,17,3,3,7,5,14,14,5,1,1,35,2,2,1,15,12,5,1,25,13,16,9,21,12,6,16,15,8,8,31,4,34,7,9,8,15,6,6,25,3,34,6,20,12,7,32,4,34,6,33,12,20,7,3,16,8,6,15,9
2,31,12,19,10,7,5,9,17,14,19,6,6,0,0,0,3,13,14,1,7,10,4,5,12,9,1,1,26,3,1,7,6,11,2,2,22,9,14,8,15,9,7,10,14,7,9,22,3,28,10,2,7,12,2,5,23,4,27,5,20,4,6,24,6,25,4,25,12,10,9,3,7,6,11,7,7
3,53,19,34,17,15,13,8,32,21,25,18,7,1,3,0,4,20,22,6,6,7,5,14,22,10,3,2,43,7,1,3,25,15,5,3,42,10,23,20,25,14,15,25,16,12,16,37,11,42,15,10,17,11,10,16,26,12,38,6,25,19,3,49,8,46,12,40,16,26,12,9,17,10,11,22,11
4,72,22,50,29,18,18,7,47,25,32,12,21,5,1,0,13,28,22,8,14,8,14,28,15,12,3,5,54,10,5,10,31,19,5,6,41,21,28,22,28,25,18,30,31,11,26,46,13,59,12,25,14,21,9,24,38,14,56,13,38,19,8,62,5,67,10,60,29,30,13,12,18,13,17,21,21
5,160,62,98,59,41,24,36,100,60,75,46,29,5,3,2,14,70,63,13,28,29,17,51,41,45,5,1,127,26,6,8,71,43,23,5,99,40,61,58,65,61,34,79,49,32,52,108,28,131,37,36,39,48,22,49,79,39,114,22,70,57,13,142,23,136,23,136,58,76,26,20,56,25,27,68,40
6,168,64,104,62,46,35,25,108,60,83,32,33,10,5,4,14,63,66,21,25,36,26,52,42,39,6,2,139,27,4,12,64,68,15,9,109,36,72,59,65,63,41,83,56,29,54,113,27,141,35,36,26,71,22,43,101,25,133,28,83,53,15,151,17,151,21,146,62,85,21,32,52,27,47,53,41
7,261,118,144,99,58,71,33,157,104,141,50,32,25,12,1,19,94,115,30,53,62,29,77,87,46,19,4,193,63,4,15,123,88,31,9,160,44,111,106,99,99,64,116,111,34,89,172,34,227,54,51,49,107,38,75,146,44,209,30,127,90,20,238,39,222,32,227,79,133,49,59,74,50,53,92,66
8,347,179,168,94,85,87,82,179,168,206,74,50,13,5,0,28,121,153,42,60,104,24,105,95,91,29,10,268,63,8,20,152,112,49,28,265,59,121,168,114,141,93,119,161,67,97,248,38,310,82,72,80,114,60,107,178,56,278,53,190,100,39,299,54,293,58,287,120,179,49,87,92,68,84,126,70
9,338,134,204,79,93,88,78,172,166,223,56,43,13,3,0,23,104,162,50,60,112,30,101,87,96,23,7,284,43,4,35,131,110,52,26,261,54,133,151,115,125,98,96,170,72,122,215,41,297,83,77,57,120,50,98,183,69,263,45,182,105,54,284,50,288,39,291,100,171,67,71,100,60,75,121,82
