1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,8,9
 ,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800 Adults,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,All,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,All,,,,,,,,,,,Gender,,,,,,,,,,,Age,,,,,,,,,,,<50 / 50+,,,,,,,,,,,Race,,,,,,,,,Class,White X Class
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credibility Interval: ± ,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Male,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Female,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,18-34,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,35-49,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,50-64,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,65+,Rural,Male,Female,Northeas,Midwest,South,West,,18-49,50+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Conservative,12,12,4,10,**,**,**,11,9,10,10,13,11,11,9,7,10,12,18,26,2,11,5,100,0,0,0,0,23,2,11,10,9,10,10,10,11,8,12,11,11,10,8,8,10,16,10,11,5,21,10,5,19,7,10,24,3,5,10,10,13,10,7,11,9,13,10,12,11,9,9,11,11,9,11,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conservative,26,24,16,17,**,**,**,16,22,24,22,20,24,26,16,19,24,24,25,45,9,25,17,0,100,0,0,0,40,8,22,22,18,21,19,23,24,17,25,23,20,22,15,18,22,29,22,23,14,27,26,17,30,19,19,34,11,22,19,22,27,20,14,23,17,25,22,26,26,18,20,20,24,20,26,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,34,35,41,39,**,**,**,32,37,38,36,31,35,36,34,38,36,37,31,24,34,37,55,0,0,100,0,0,30,38,35,37,35,36,35,38,36,36,36,37,38,35,38,38,36,34,38,34,37,31,39,37,31,38,39,26,34,47,41,36,36,36,31,37,36,34,38,33,39,37,38,38,36,33,33,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liberal,17,16,17,21,**,**,**,14,17,17,17,24,16,16,14,17,19,17,16,2,34,15,12,0,0,0,100,0,3,32,12,16,19,22,15,17,20,19,16,15,15,18,16,17,17,15,19,13,21,12,13,22,11,20,17,6,31,14,18,17,12,18,23,16,20,16,18,12,15,20,17,17,14,21,19,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Liberal,7,7,11,8,**,**,**,11,7,7,8,11,6,6,15,9,5,6,8,1,17,6,4,0,0,0,0,100,1,16,6,7,9,9,8,8,7,10,6,6,7,8,9,8,7,4,5,9,11,4,6,10,4,9,8,2,16,4,8,8,5,8,17,6,10,7,7,6,5,9,9,6,6,9,7,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Sure,5,7,10,5,**,**,**,17,8,5,7,2,8,4,12,10,6,3,2,2,3,5,7,0,0,0,0,0,3,3,14,8,9,3,13,5,3,10,5,8,8,7,14,11,7,2,5,10,11,4,7,8,4,7,7,7,5,7,4,7,6,7,9,7,8,5,6,10,4,7,7,8,8,7,4,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
