1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,8,9
Mike Pence ,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joe Biden ,55,50,45,82,60,**,**,**,57,53,All,52,50,45,45,61,55,54,48,43,12,53,89,46,11,21,58,88,94,12,90,48,48,51,56,55,51,50,62,47,48,51,53,57,61,52,44,50,54,62,41,51,59,38,56,59,26,76,50,55,52,43,55,66,51,53,62,52,42,47,57,54,52,51,50,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undecided,10,12,9,11,**,**,**,19,11,12,12,9,11,12,13,15,10,10,8,11,5,10,22,8,10,15,7,4,12,6,13,14,13,9,14,12,9,12,11,15,14,11,14,14,12,9,11,12,15,9,10,14,9,12,13,10,10,14,9,12,12,12,14,11,11,12,11,13,10,14,12,12,10,13,7,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Composition of Registered Voters,48,67,12,14,4,2,1,9,34,45,100,11,22,30,10,27,28,26,9,32,41,50,23,11,23,37,18,8,38,41,22,37,50,40,37,37,27,34,49,17,33,67,8,26,92,28,24,19,29,24,28,47,27,69,26,29,35,33,12,87,19,81,11,88,28,28,49,23,25,24,18,22,37,23,20,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850 Registered Voters,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,All,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,Gender,,,,,,,,,,,Age,,,,,,,,,,,<50 / 50+,,,,,,,,,,,Race,,,,,,,,,,,Class,,,,,,,,,White X Class,Paycheck
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credibility Interval: ± ,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Male,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Female,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,18-34,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,35-49,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,50-64,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,65+,Rural,Male,Female,Northeas,Midwest,South,West,,18-49,50+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donald Trump ,45,50,9,33,**,**,**,33,42,42,42,47,51,50,35,35,42,47,54,87,7,49,41,87,75,35,8,3,91,4,46,43,34,38,36,43,48,31,48,45,43,41,29,35,43,50,45,43,30,53,44,35,57,36,42,71,20,41,42,42,51,40,25,44,31,46,42,53,49,35,40,40,45,39,45,38
